id,object,sdh_knuckle_joint,sdh_finger_12_joint,sdh_finger_13_joint,sdh_finger_22_joint,sdh_finger_23_joint,sdh_thumb_2_joint,sdh_thumb_3_joint,direction,qw,qx,qy,qz,pos-x,pos-y,pos-z,eps_l1,vol_l1,
0,hotpot,0,-0.1123999846,0.47,-0.6473999937,0.981000008,-0.3823999909,0.8420000079,SIDE,0.4740175037,0.5894638029,0.4507185789,0.4740175037,-163.9401298983,17.3896414923,131.131063578,0.01366634,0.000098224,0
1,hotpot,0,-0.1123999846,0.9472,-0.6473999937,0.9812000016,-0.4163999893,0.9472,SIDE,0.4740175037,0.5894638029,0.4507185789,0.4740175037,-163.9401298983,17.3896414923,131.131063578,0.011964324,0.000060834,1
2,hotpot,0,0.0066000178,0.47,-0.4953999898,0.47,-0.3343999886,0.47,SIDE,0.4740175037,0.5894638029,0.4507185789,0.4740175037,-213.2465955035,23.9664079674,136.1925448101,0.004370998,0.000016313,2
3,hotpot,0,-0.1733999875,0.9472,-0.6643999945,0.9472,-0.5073999903,0.9472,SIDE,0.4740175037,0.5894638029,0.4507185789,0.4740175037,-213.2465955035,23.9664079674,136.1925448101,0.006628737,0.000018773,3
4,hotpot,0,-0.6853999923,0.9472,-0.6023999916,0.9472,-0.4923999896,0.9472,SIDE,0.5048916447,-0.4295487461,0.5528623056,-0.5048916447,-172.0682654803,16.9785278454,62.7862293542,0.00787462,0.000025776,4
5,hotpot,0,-0.6503999939,0.6810000035,-0.6193999924,0.8880000068,-0.3643999901,0.7530000069,SIDE,0.5048916447,0.5528623056,0.4295487461,0.5048916447,-170.2826256182,16.7543919229,62.8216214746,0.024640559,0.000230644,5
6,hotpot,0,-0.7453999951,0.9472,-0.6413999934,0.9472,-0.4263999897,0.9472,SIDE,0.5048916447,0.5528623056,0.4295487461,0.5048916447,-170.2826256182,16.7543919229,62.8216214746,0.007281577,0.000029254,6
7,hotpot,0,1.0326000307,1.5707963268,-0.4413999905,0.9472,-0.2643999886,0.9472,SIDE,0.7088136056,0.7033514658,-0.0536655196,-1.9578895915161871e-16,10.3981463321,175.1097818562,115.2257138837,0.000435493,0.0000001,7
8,hotpot,0,-0.0393999844,0.9472,-0.4263999897,0.9472,-0.2683999888,0.9472,SIDE,2.8129115140273947e-16,0.0720840966,0.7153723898,0.695015271,-12.590760227,-179.0144305353,120.2804478821,0.000123367,0.00000397,8
9,hotpot,3.3306690738754701e-16,-0.5343999916,0.47,-0.4593999913,0.47,-0.3683999903,0.47,SIDE,0.5048916447,-0.4295487461,0.5528623056,-0.5048916447,-221.6693786466,23.2045264312,61.8031147808,0.00906396,0.000029321,9
