id,object,sdh_knuckle_joint,sdh_finger_12_joint,sdh_finger_13_joint,sdh_finger_22_joint,sdh_finger_23_joint,sdh_thumb_2_joint,sdh_thumb_3_joint,direction,qw,qx,qy,qz,pos-x,pos-y,pos-z,eps_l1,vol_l1,
0,hotpot2,0,1.0326000307,1.5707963268,-0.7683999962,0.9472,-0.6933999927,0.9472,SIDE,0.5000781778,-0.6098699597,-0.3576342608,-0.5000781778,-57.2938523128,-248.84816328,65.8687115017,0.000028223,0.00000017,0
1,hotpot2,0,1.0326000307,1.5707963268,-0.5823999939,0.47,-0.5193999909,0.47,SIDE,0.5039148789,0.3540852898,-0.6056097731,0.5039148789,48.6135669867,253.990315828,62.65027527,0.000027635,0.000000174,1
2,hotpot2,0,0.3156000194,0.47,-0.590399991,0.47,-0.5193999909,0.47,SIDE,0.5000781778,-0.6098699597,-0.3576342608,-0.5000781778,-57.2938523128,-248.84816328,65.8687115017,0.006140493,0.000054132,2
3,hotpot2,0,-0.674399995,0.47,-0.5803999938,0.47,-0.4983999899,0.47,SIDE,0.7144321054,0.1917367244,0.6729218344,-7.7699687360144815e-17,-231.0580109198,62.3866413424,61.4295899594,0.003006964,0.000052564,3
4,hotpot2,0,-0.8233999956,0.9472,-0.7603999958,0.9472,-0.6783999952,0.9472,SIDE,0.7144321054,0.1917367244,0.6729218344,-7.7699687360144815e-17,-231.0580109198,62.3866413424,61.4295899594,0.000004145,0.000052998,4
5,hotpot2,0,-0.7303999944,0.47,-0.6503999939,0.47,-0.563399993,0.7960000057,SIDE,0.5039148789,0.6056097731,0.3540852898,-0.5039148789,33.2011402644,195.1839935344,63.6061011632,0.005209745,0.000117183,5
6,hotpot2,0,-0.9053999962,0.9472,-0.8003999945,0.9472,-0.7093999934,0.9472,SIDE,1.1654953104021726e-16,0.6729218344,-0.1917367244,0.7144321054,-181.3477411605,48.2226124715,62.5063182735,0.008458108,0.000081012,6
7,hotpot2,0,-0.832399996,0.47,-0.6683999947,0.4950000012,-0.5503999924,0.47,SIDE,0.7144321054,0.1917367244,0.6729218344,-3.8849843680072407e-17,-182.9823146231,48.6883541749,62.470913285,0.008630929,0.000065802,7
8,hotpot2,0,-0.811399995,0.9472,-0.7493999953,0.9472,-0.6943999927,0.9472,SIDE,1.9424921840036212e-16,0.6729218344,-0.1917367244,0.7144321054,-229.4234374571,61.920899639,61.4649949479,0.003084724,0.000084567,8
9,hotpot2,0,-0.6493999938,0.47,-0.5683999932,0.47,-0.5163999908,0.47,SIDE,1.553993747202897e-16,0.6729218344,-0.1917367244,0.7144321054,-229.4234374571,61.920899639,61.4649949479,0.011144267,0.000118473,9
10,hotpot2,0,-0.964399999,0.9472,-0.8013999945,0.9472,-0.6993999929,0.9472,SIDE,0.7144321054,0.1917367244,0.6729218344,-7.7699687360144815e-17,-182.9823146231,48.6883541749,62.470913285,0.008827785,0.000040146,10
11,hotpot2,0,-0.7763999966,0.47,-0.653399994,0.47,-0.5733999935,0.5300000028,SIDE,1.553993747202897e-16,0.6729218344,-0.1917367244,0.7144321054,-181.3477411605,48.2226124715,62.5063182735,0.008235365,0.000047446,11
12,hotpot2,0,-0.6943999927,0.47,-0.7083999934,0.7760000048,-0.50039999,0.622000004,SIDE,0.5000781778,-0.3576342608,0.6098699597,0.5000781778,-44.0998625938,-198.2397807452,65.8850675728,0.008639298,0.000196431,12
13,hotpot2,0,-0.4783999922,0.47,-0.5823999939,0.47,-0.4373999903,0.47,SIDE,0.5000781778,-0.3576342608,0.6098699597,0.5000781778,-56.7136194608,-246.6225555023,65.8694307936,0.009123633,0.000074722,13
14,hotpot2,0,-0.653399994,0.9472,-0.7573999957,0.9472,-0.610399992,0.9472,SIDE,0.5000781778,-0.3576342608,0.6098699597,0.5000781778,-56.7136194608,-246.6225555023,65.8694307936,0.00713231,0.000032031,14
15,hotpot2,2.2204460492503131e-16,0.1566000184,0.9472,-0.791399994,0.9472,-0.7023999931,0.9472,SIDE,0.5039148789,0.3540852898,-0.6056097731,0.5039148789,35.938874031,205.6298536923,63.4363162961,0.004634479,0.000024537,15
16,hotpot2,0,-0.4933999897,0.47,-0.5493999923,0.47,-0.4303999899,0.47,SIDE,0.5039148789,0.6056097731,0.3540852898,-0.5039148789,45.8758332201,243.5444556702,62.8200601371,0.006976043,0.000027437,16
17,hotpot2,0,0.2696000205,0.47,-0.6763999951,0.5900000024,-0.590399991,0.6420000049,SIDE,0.5039148789,0.3540852898,-0.6056097731,0.5039148789,35.938874031,205.6298536923,63.4363162961,0.008503559,0.000125435,17
18,hotpot2,0,0.2636000202,0.47,-0.6903999925,0.6000000029,-0.5813999938,0.622000004,SIDE,0.5000781778,-0.6098699597,-0.3576342608,-0.5000781778,-44.6800954459,-200.4653885229,65.8843482809,0.007143509,0.000119782,18
19,hotpot2,0,-0.6653999946,0.9472,-0.7253999942,0.9472,-0.6023999916,0.9472,SIDE,0.5039148789,0.6056097731,0.3540852898,-0.5039148789,45.8758332201,243.5444556702,62.8200601371,0.007748516,0.000028469,19
20,hotpot2,0,0.1186000166,0.9472,-0.8063999948,0.9472,-0.6993999929,0.9472,SIDE,0.5000781778,-0.6098699597,-0.3576342608,-0.5000781778,-44.6800954459,-200.4653885229,65.8843482809,0.003285552,0.000022361,20
