id,object,sdh_knuckle_joint,sdh_finger_12_joint,sdh_finger_13_joint,sdh_finger_22_joint,sdh_finger_23_joint,sdh_thumb_2_joint,sdh_thumb_3_joint,direction,qw,qx,qy,qz,pos-x,pos-y,pos-z,eps_l1,vol_l1,
0,instanttomatosoup,0,-0.0083999829,0.9472,-0.6593999943,0.9732000012,-0.4303999899,0.9472,SIDE,0.5009760888,0.2780917128,-0.6486223217,-0.5009760888,154.2142106127,-56.0477097579,115.846854291,0.00848476,0.000051462,0
1,instanttomatosoup,0,-0.0123999831,0.9472,-0.6563999942,0.9572000005,-0.43239999,0.9472,SIDE,0.4944765394,0.6543185597,0.2878421902,0.4944765394,-167.0670608282,56.6113512296,119.8162084376,0.008337143,0.000032181,1
2,instanttomatosoup,0,-0.2903999865,0.47,-0.0423999845,0.47,-0.8773999981,0.47,SIDE,0.4977798632,0.6589513792,0.2649782923,0.4977798632,-162.9665408453,113.9704993206,67.9595880276,0.00830757,0.000054017,2
3,instanttomatosoup,0,0.0346000159,0.47,-0.6563999942,0.9580000101,-0.3753999906,0.7530000069,SIDE,0.4944765394,0.6543185597,0.2878421902,0.4944765394,-167.0670608282,56.6113512296,119.8162084376,0.009651846,0.000057904,3
4,instanttomatosoup,0,0.0656000173,0.47,-0.6593999943,0.9730000076,-0.3873999879,0.8050000061,SIDE,0.5009760888,0.2780917128,-0.6486223217,-0.5009760888,154.2142106127,-56.0477097579,115.846854291,0.011436757,0.000092621,4
5,instanttomatosoup,4.4408920985006262e-16,-0.299399987,0.47,-0.0583999853,0.47,-0.854399997,0.47,SIDE,0.5009361231,0.2774461465,-0.6489604279,-0.5009361231,150.4405566284,-104.4089854604,65.8160178175,0.009730382,0.000043612,5
6,instanttomatosoup,0,-0.0403999845,0.47,-0.5173999908,0.47,-0.3443999891,0.47,SIDE,0.4944765394,0.6543185597,0.2878421902,0.4944765394,-213.6546995413,74.732747927,120.9147988382,0.006133518,0.000028324,6
7,instanttomatosoup,0,-0.2983999869,0.47,-0.0843999865,0.47,-0.6753999951,0.47,SIDE,0.4977798632,0.6589513792,0.2649782923,0.4977798632,-208.957899395,133.5816862539,68.4026295793,0.006017621,0.00006587,7
8,instanttomatosoup,0,-0.3183999879,0.47,-0.1153999848,0.47,-0.6763999951,0.47,SIDE,0.5009361231,0.2774461465,-0.6489604279,-0.5009361231,196.8476084062,-123.0194778391,65.6286179327,0.008656994,0.000066684,8
9,instanttomatosoup,0,-0.2213999865,0.9472,-0.6883999924,0.9472,-0.520399991,0.9472,SIDE,0.4944765394,0.6543185597,0.2878421902,0.4944765394,-213.6546995413,74.732747927,120.9147988382,0.005085552,0.000014833,9
