id,object,gripper_finger_1_joint,gripper_finger_2_joint,direction,qw,qx,qy,qz,pos-x,pos-y,pos-z,eps_l1,vol_l1,
0,pringles,0.1,-0.9,SIDE,0.50000,-0.50000,-0.50000,-0.50000,0,-14,6,0.01,0.0005,0
1,pringles,0.1,-0.9,SIDE,0.65328,-0.27060,-0.65328,-0.27060,10,-10,6,0.01,0.0005,1
2,pringles,0.1,-0.9,SIDE,0.70711,0.00000,-0.70711,0.00000,14,0,6,0.01,0.0005,2
3,pringles,0.1,-0.9,SIDE,0.65328,0.27060,-0.65328,0.27060,10,10,6,0.01,0.0005,3
4,pringles,0.1,-0.9,SIDE,0.50000,0.50000,-0.50000,0.50000,0,14,6,0.01,0.0005,4
5,pringles,0.1,-0.9,SIDE,0.27060,0.65328,-0.27060,0.65328,-10,10,6,0.01,0.0005,5
6,pringles,0.1,-0.9,SIDE,0.00000,0.70711,0.00000,0.70711,-14,0,6,0.01,0.0005,6
7,pringles,0.1,-0.9,SIDE,-0.27060,0.65328,0.27060,0.65328,-9,-10,6,0.01,0.0005,7
8,pringles,0.1,-0.9,SIDE,0.50000,-0.50000,-0.50000,-0.50000,0,-14,0,0.01,0.0005,8
9,pringles,0.1,-0.9,SIDE,0.65328,-0.27060,-0.65328,-0.27060,10,-10,0,0.01,0.0005,9
10,pringles,0.1,-0.9,SIDE,0.70711,0.00000,-0.70711,0.00000,14,0,0,0.01,0.0005,10
11,pringles,0.1,-0.9,SIDE,0.65328,0.27060,-0.65328,0.27060,10,10,0,0.01,0.0005,11
12,pringles,0.1,-0.9,SIDE,0.50000,0.50000,-0.50000,0.50000,0,14,0,0.01,0.0005,12
13,pringles,0.1,-0.9,SIDE,0.27060,0.65328,-0.27060,0.65328,-10,10,0,0.01,0.0005,13
14,pringles,0.1,-0.9,SIDE,0.00000,0.70711,0.00000,0.70711,-14,0,0,0.01,0.0005,14
15,pringles,0.1,-0.9,SIDE,-0.27060,0.65328,0.27060,0.65328,-9,-10,0,0.01,0.0005,15
16,pringles,0.1,-0.9,SIDE,0.50000,-0.50000,-0.50000,-0.50000,0,-14,-6,0.01,0.0005,16
17,pringles,0.1,-0.9,SIDE,0.65328,-0.27060,-0.65328,-0.27060,10,-10,-6,0.01,0.0005,17
18,pringles,0.1,-0.9,SIDE,0.70711,0.00000,-0.70711,0.00000,14,0,-6,0.01,0.0005,18
19,pringles,0.1,-0.9,SIDE,0.65328,0.27060,-0.65328,0.27060,10,10,-6,0.01,0.0005,19
20,pringles,0.1,-0.9,SIDE,0.50000,0.50000,-0.50000,0.50000,0,14,-6,0.01,0.0005,20
21,pringles,0.1,-0.9,SIDE,0.27060,0.65328,-0.27060,0.65328,-10,10,-6,0.01,0.0005,21
22,pringles,0.1,-0.9,SIDE,0.00000,0.70711,0.00000,0.70711,-14,0,-6,0.01,0.0005,22
23,pringles,0.1,-0.9,SIDE,-0.27060,0.65328,0.27060,0.65328,-9,-10,-6,0.01,0.0005,23
