id;object;sdh_knuckle_joint;sdh_finger_12_joint;sdh_finger_13_joint;sdh_finger_22_joint;sdh_finger_23_joint;sdh_thumb_2_joint;sdh_thumb_3_joint;direction;qw;qx;qy;qz;pos-x;pos-y;pos-z;eps_l1;vol_l1;
0;yellowsaltcube;0;-0.9854;0.9472;-0.8963999958;0.9472;-0.7543999955;0.9472;SIDE;0.70052989;0.1317917572;0.7013478495;1.9810414952814776e-17;-200.7010903;26.4683918801;75.6430164067;0.009082268;0.000057873;0
1;yellowsaltcube;0;-0.7253999942;0.9472;-0.6513999939;0.9472;-0.9854;0.9472;SIDE;-2.2818494842400568e-16;0.7298178729;-0.1236581782;-0.6723648766;212.44029898;-32.3469905997;67.6433770174;0.007620564;0.000038404;1
2;yellowsaltcube;0;-0.7363999947;0.9472;-0.6723999949;0.9472;-0.9523999984;0.9472;SIDE;0.7119857251;0.0867025923;0.6968206281;-1.656791592954181e-16;-218.2197592087;17.8241569421;46.6659758958;0.009291001;0.000049242;2
3;yellowsaltcube;0;-0.7333999945;0.9472;-0.6713999949;0.9472;-0.9854;0.9472;SIDE;0.7119857251;0.0867025923;0.6968206281;-1.4618749349595713e-16;-193.5027449418;14.7487181221;47.0109132727;0.008202037;0.000041677;3
4;yellowsaltcube;0;-0.7153999937;0.9472;1.0986000338;1.5707963268;-0.9854;0.9472;SIDE;-2.2372789558646274e-16;0.7133422472;-0.0544723542;-0.6986956426;188.7597490235;7.1162457552;53.1436480153;0.000364106;0.000001819;4
5;yellowsaltcube;0;-0.9854;0.9472;-0.8763999981;0.9472;-0.7413999949;0.9472;SIDE;1.5644579900794497e-16;0.6729222122;-0.2087286852;0.7096534593;-201.554025841;75.5905095661;71.0632801889;0.00832826;0.000060779;5
6;yellowsaltcube;0;-0.9854;0.9472;-0.8793999982;0.9472;-0.743399995;0.9472;SIDE;1.1733434925595873e-16;0.6729222122;-0.2087286852;0.7096534593;-198.3246167938;73.8505682655;71.0892580233;0.009549585;0.00007828;6
7;yellowsaltcube;0;-0.7043999932;0.9472;-0.6603999943;0.9472;-0.9313999974;0.9472;SIDE;0.5052145934;-0.4015618061;0.5729437539;0.5052145934;-36.1675175638;-227.3329620591;45.1921995226;0.006989613;0.000041107;7
8;yellowsaltcube;0;-0.6333999931;0.9472;-0.5333999916;0.9472;-0.9854;0.9472;SIDE;0.6685857139;-0.1710165562;-0.7237033099;-1.2454158849100541e-16;208.3591061499;-61.8065672611;133.2816955815;0.009722463;0.000098442;8
9;yellowsaltcube;0;-0.8523999969;0.9472;-0.701399993;0.9472;-0.8493999968;0.9472;SIDE;0.6825352425;-0.2104230156;-0.6999055631;-8.1330820404926587e-17;171.8593227166;-72.5241586607;103.5387058611;0.005846848;0.000045491;9
