id,object,sdh_knuckle_joint,sdh_finger_12_joint,sdh_finger_13_joint,sdh_finger_22_joint,sdh_finger_23_joint,sdh_thumb_2_joint,sdh_thumb_3_joint,direction,qw,qx,qy,qz,pos-x,pos-y,pos-z,eps_l1,vol_l1,
0,yellowsaltcube,0,-0.6423999935,0.47,-0.6423999935,0.47,-0.4983999899,0.47,SIDE,0.5193075163,0.5484651597,0.3997816599,-0.5193075163,31.9226429028,250.4686928033,55.0324173149,0.007877633,0.000067808,0
1,yellowsaltcube,0,-0.8063999948,0.47,-0.7713999964,0.47,-0.5783999937,0.47,SIDE,0.5193075163,0.5484651597,0.3997816599,-0.5193075163,24.201397001,201.2255227298,58.9684766175,0.005688955,0.00002939,1
2,yellowsaltcube,0,-0.6613999944,0.47,-0.6393999933,0.47,-0.5333999916,0.47,SIDE,0.7248368493,0.1377092471,0.6750168185,-7.6584339342561694e-17,-240.5802009788,42.7625185616,61.4005421662,0.011015124,0.000101334,2
3,yellowsaltcube,0,-0.6513999939,0.47,-0.6283999928,0.47,-0.5693999933,0.47,SIDE,-2.7447121483270659e-16,0.7078666862,-0.1680098316,-0.6860739399,230.1691211012,-49.4804217806,84.8559177593,0.009926333,0.000083881,3
4,yellowsaltcube,0,-0.7513999954,0.47,-0.7583999957,0.47,-0.6023999916,0.4970000013,SIDE,0.5003683445,-0.4267628095,0.5631487761,0.5003683445,-24.7901827567,-197.8665060596,72.1698266738,0.009112939,0.000073383,4
5,yellowsaltcube,1.110223024625157e-16,-0.9363999977,0.9472,-0.9103999964,0.9472,-0.7233999941,0.9472,SIDE,0.5193075163,0.5484651597,0.3997816599,-0.5193075163,24.201397001,201.2255227298,58.9684766175,0.007472767,0.000055273,5
6,yellowsaltcube,0,-0.8153999952,0.47,-0.7403999949,0.47,-0.6463999937,0.5460000036,SIDE,-2.5486612805894182e-16,0.7078666862,-0.1680098316,-0.6860739399,181.6042324671,-37.9537050678,81.9256628593,0.008789428,0.000060089,6
7,yellowsaltcube,0,-0.6023999916,0.47,-0.6423999935,0.47,-0.5403999919,0.47,SIDE,0.5003683445,-0.4267628095,0.5631487761,0.5003683445,-31.6145047926,-247.3985481904,72.0961306345,0.0062659,0.000047029,7
8,yellowsaltcube,0,-0.8873999953,0.9472,-0.8923999956,0.9472,-0.7463999952,0.9472,SIDE,0.5003683445,-0.4267628095,0.5631487761,0.5003683445,-24.7901827567,-197.8665060596,72.1698266738,0.008981506,0.000060448,8
9,yellowsaltcube,0,-0.8373999962,0.47,-0.763399996,0.47,-0.6013999915,0.47,SIDE,0.7248368493,0.1377092471,0.6750168185,-9.5730424178202108e-17,-191.6524945895,32.7808448809,63.9393879699,0.005982535,0.000064528,9
10,yellowsaltcube,0,-0.7663999961,0.9472,-0.8063999948,0.9472,-0.7193999939,0.9472,SIDE,0.5003683445,-0.4267628095,0.5631487761,0.5003683445,-31.6145047926,-247.3985481904,72.0961306345,0.001957149,0.000058542,10
11,yellowsaltcube,0,-0.9373999977,0.9472,-0.8733999979,0.9472,-0.7773999966,0.9472,SIDE,-2.5486612805894182e-16,0.7078666862,-0.1680098316,-0.6860739399,181.7013622504,-37.9767585027,81.9315233695,0.007418463,0.000046474,11
12,yellowsaltcube,0,-0.9743999995,0.9472,-0.900399996,0.9472,-0.7483999953,0.9472,SIDE,0.7248368493,0.1377092471,0.6750168185,-9.5730424178202108e-17,-191.7503500084,32.8008082295,63.9343102779,0.006689302,0.000043197,12
13,yellowsaltcube,0,-0.542399992,0.47,-0.7463999952,0.47,-0.6503999939,0.5640000045,SIDE,5.7438254506921292e-17,0.6750168185,-0.1377092471,0.7248368493,-186.8575793831,31.8026408642,64.1881948576,0.008364139,0.000063148,13
14,yellowsaltcube,0,-0.4793999923,0.47,-0.7653999961,0.47,-0.6133999921,0.47,SIDE,0.6860739399,-0.1680098316,-0.7078666862,-6.0683493429223438e-17,186.0722021836,-39.0141629964,82.1952463078,0.006627936,0.000032126,14
15,yellowsaltcube,0,-0.5723999934,0.9472,-0.8783999982,0.9472,-0.7783999967,0.9472,SIDE,5.7438254506921292e-17,0.6750168185,-0.1377092471,0.7248368493,-186.8575793831,31.8026408642,64.1881948576,0.004977598,0.000040606,15
